iso3_code,connectivity_govt,school_id_giga,num_students,num_classrooms,connectivity,school_id_govt,school_name,latitude,longitude,education_level,connectivity_type_govt,admin1,admin1_id_giga,admin2,admin2_id_giga,num_computers,num_teachers,source_lat_lon,country,unicef_region,itu_region,continent
BIH,No,64a7b768-8af7-31b0-b6e4-1db456ee5ce2,16,2,No,E-4-A-155,JU Druga osnovna škola Zavidovići - Područna škola Gornji Lug,44.47245407104490,18.107786178588900,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Zeničko-Dobojski,BIH002004,0,2,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,64f92dbd-d892-3e20-83f0-38d054804e73,265,12,Yes,J-7-D-48,"Srednja škola za tekstil, kožu i dizajn",43.866031646728500,18.43294906616210,Other,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Sarajevo,BIH002009,35,38,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6502e8f4-cd71-303e-8ca8-6d657807231b,52,3,Yes,E-3-A-131,"JU ""Prva osnovna škola"" Maglaj PŠ Ravna",44.583045959472700,18.05537223815920,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Zeničko-Dobojski,BIH002004,0,3,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,650b9ea6-9300-3faa-af05-e0588991d1b8,5,1,No,L-55-A-43,"ЈУ ОШ ""Свети Сава"" Гацко По Добреља",43.16759490966800,18.5353946685791,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Trebinje,BIH001006,0,3,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,65312f56-61ff-3d38-9cfa-b8f2d8e2486c,5,2,No,F-3-A-3,"Javna ustanova osnovna škola""Hasan Turčalo Brzi"" Područna škola Rešetnica",43.645042419433600,18.861217498779300,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Bosansko-Podrinjski,BIH002005,0,1,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,65950cf4-8bef-37a7-9493-02d5275796e8,344,18,Yes,L-55-I-653,"ЈУ СШЦ ""Перо Слијепчевић"" Гацко",42.70981216430660,18.346803665161100,Secondary,Фибер-оптички интернет,Republika Srpska,BIH001,Trebinje,BIH001006,46,35,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,65a53d73-3337-3e18-9595-208adb4f21c1,544,20,Yes,E-6-B-159,JU OŠ ''Musa Ćazim Ćatić'' - Zenica,44.20382308959960,17.90724754333500,Primary,Kablovski internet,Federacija Bosne i Hercegovine,BIH002,Zeničko-Dobojski,BIH002004,43,47,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,65e1cc5b-e1f7-3055-8163-e78388d46f45,9,2,Yes,L-33-A-239,"Јавна установа Основна Школа ""Доситеј Обрадовић"" Суво Поље",44.64811325073240,18.858116149902300,Primary,(A)DSL интернет,Republika Srpska,BIH001,Bijeljina,BIH001002,0,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,65ee3f59-ce2b-3f7c-a76d-1d51d9e5c003,22,2,No,L-27-A-271,"ЈАВНА УСТАНОВА ОСНОВНА ШКОЛА ""ДЕСАНКА МАКСИМОВИЋ"" СТАНАРИ, ПОДРУЧНО ОДЈЕЉЕЊЕ ТЕДИН ХАН",44.716835021972700,17.790470123291000,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Banja Luka,BIH001001,1,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6633a91e-3026-354f-9c1a-72a3373e1fea,145,11,Yes,C-2-B-21,Osnovna škola Braće Radića Domaljevac,45.064273834228500,18.577091217041000,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Posavski,BIH002002,22,20,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6636988b-7fa8-3bc6-b5d4-08401d8ac7e3,500,14,Yes,L-12-D-403,ЈУ ГРАЂЕВИНСКА ШКОЛА БАЊА ЛУКА,44.80185317993160,17.20806312561040,Other,(A)DSL интернет,Republika Srpska,BIH001,Banja Luka,BIH001001,49,62,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,66428a5d-abe5-3395-a994-a95dc717d28c,48,2,No,L-35-A-483,"ЈУ ОШ ""Алекса Шантић"" Угљевик",44.698978424072300,19.037397384643600,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Bijeljina,BIH001002,0,3,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,66595e4c-bdd8-3590-9d6a-f4c928690497,2,2,No,H-6-B-80,Osnovna škola Kardinala Stepinca Neum,42.95747375488280,17.804000854492200,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Hercegovačko-Neretvanski,BIH002007,0,9,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,668e7d6b-87f2-313b-95d2-2c6f2fa5ef18,631,17,Yes,L-26-B-118,"Јавна установа основна школа ""Доситеј Обрадовић",44.75779724121090,18.03878402709960,Primary,(A)DSL интернет,Republika Srpska,BIH001,Doboj,BIH001003,16,44,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
